bid_id,sales_id,buyer_id,date_bid,bid_price
124,28,44,2022-01-23,112140000
125,13,45,2022-05-19,171600000
126,13,45,2022-05-25,165600000
127,39,46,2022-02-13,191180000
128,39,46,2022-02-14,177180000
129,26,46,2022-03-06,179090000
130,3,47,2022-03-23,203170000
131,3,47,2022-03-31,197170000
132,6,47,2022-01-09,148840000
133,6,47,2022-01-10,132840000
134,9,47,2022-02-25,235660000
135,9,47,2022-03-03,220660000
136,22,48,2022-02-02,202530000
137,26,48,2022-03-22,170090000
138,11,49,2022-04-07,183440000
139,11,49,2022-04-15,166440000
140,18,49,2022-06-02,236650000
141,46,50,2022-02-23,119100000
142,46,50,2022-02-27,108100000
143,36,50,2022-07-08,135990000
144,36,50,2022-07-09,125990000
145,45,50,2022-06-10,171980000
146,45,50,2022-06-14,159980000
147,3,51,2022-03-24,207170000
148,3,51,2022-03-26,190170000
149,15,52,2022-01-28,198810000
150,30,53,2022-03-20,190220000
151,4,54,2022-06-07,184420000
152,4,54,2022-06-10,168420000
153,32,55,2022-03-02,192970000
154,32,55,2022-03-03,184970000
155,41,55,2022-03-10,166900000
156,41,55,2022-03-13,156900000
157,42,56,2022-04-07,182170000
158,12,56,2022-03-14,218130000
159,3,56,2022-04-09,202170000
160,23,57,2022-04-21,194460000
161,23,57,2022-04-22,183460000
162,42,57,2022-03-25,184170000
163,41,58,2022-03-17,156900000
164,41,58,2022-03-24,145900000
165,20,59,2022-05-08,161810000
166,20,59,2022-05-08,146810000
167,28,60,2022-01-13,121140000
168,28,60,2022-01-17,102140000
169,40,61,2022-03-13,178180000
170,40,61,2022-03-19,159180000
171,11,62,2022-04-09,180440000
172,11,62,2022-04-18,164440000
173,10,62,2022-03-02,165730000
174,10,62,2022-03-06,157730000
175,3,62,2022-03-25,198170000
176,3,62,2022-03-25,185170000
177,20,63,2022-05-12,162810000
178,28,63,2022-01-15,114140000
179,44,64,2022-02-21,162450000
180,44,64,2022-02-26,146450000
181,20,65,2022-05-06,163810000
182,14,65,2022-03-09,166540000
183,14,65,2022-03-15,159540000
184,2,65,2022-02-28,212810000
185,2,65,2022-03-04,207810000
186,14,66,2022-02-18,163540000
187,14,66,2022-02-22,157540000
188,43,67,2022-04-19,190280000
189,43,67,2022-04-25,171280000
190,34,67,2022-06-17,199310000
191,34,67,2022-06-18,188310000
192,25,67,2022-05-07,213770000
193,25,67,2022-05-13,195770000
194,16,68,2022-06-12,168840000
195,16,68,2022-06-18,156840000
196,21,69,2022-04-23,235410000
197,1,69,2022-06-19,155790000
198,1,69,2022-06-24,136790000
199,1,70,2022-06-23,146790000
200,26,70,2022-03-12,179090000
201,26,70,2022-03-21,167090000
202,40,71,2022-03-14,168180000
203,40,71,2022-03-17,163180000
204,12,71,2022-03-18,204130000
205,27,71,2022-02-18,142170000
206,27,71,2022-02-22,129170000
207,28,72,2022-01-16,111140000
208,28,72,2022-01-24,106140000
209,2,72,2022-03-20,204810000
210,13,73,2022-05-02,166600000
211,38,74,2022-07-03,179000000
212,38,74,2022-07-08,173000000
213,46,74,2022-02-07,117100000
214,46,74,2022-02-13,110100000
215,11,75,2022-04-19,176440000
